,id,name,type,address,lon,lat,agr_type,rating
40,40,МБУК Музей истории города Иркутска имени А. М. Сибирякова,Музей,"ул. Франк-Каменецкого, 16А, Иркутск",104.296381,52.290715,культура,4.5
41,41,Иркутский областной краеведческий музей им. Н. Н. Муравьева-Амурского Отдел истории,Музей,"ул. Карла Маркса, 2",104.278115,52.27574,культура,4.4
42,42,ГБУК Иркутский областной художественный музей имени В. П. Сукачёва,Музей,"ул. Ленина, 5",104.281599,52.283958,культура,4.6
43,43,Дом-музей Трубецких,Музей,"ул. Дзержинского, 64",104.301797,52.288895,культура,4.7
44,44,ГАУК Иркутский областной краеведческий музей Выставочный отдел Музейная студия,Музей,"ул. Карла Маркса, 13",104.284299,52.281685,культура,4.5
45,45,Отдел природы Иркутского областного краеведческого музея,Музей,"ул. Карла Маркса, 11",104.283974,52.281413,культура,4.2
46,46,Дом-музей Волконских,Музей,"пер. Волконского, 10",104.304606,52.287579,культура,4.7
47,47,Галерея Виктора Бронштейна,Музей,"ул. Октябрьской Революции, 3этаж 2,3",104.302393,52.290221,культура,4.8
48,48,Музей ретро мототехники,Музей,"Подгорная ул., 27этаж 1, цокольный",104.298765,52.278535,культура,4.5
49,49,Музей-усадьба В. П. Сукачёва,Музей,"ул. Декабрьских Событий, 112, Иркутск",104.316457,52.279002,культура,4.4
50,50,Музей истории Иркутского тюремного замка имени А. В. Колчака,Музей,"ул. Баррикад, 63",104.312087,52.293881,культура,4.3
51,51,Музей В. Г. Распутина,Музей,"ул. Свердлова, 20",104.283186,52.284696,культура,4.7
52,52,"Иркутский областной художественный музей имени В.П. Сукачева, Отдел сибирского искусства",Музей,"ул. Карла Маркса, 23",104.287374,52.284293,культура,4.4
53,53,Музей лекарственных трав и минералов,Музей,"Култукская ул., 46",104.330243,52.284163,культура,4.6
54,54,Музей чая,Музей,"ул. Декабрьских Событий, 77Б этаж 2",104.30424,52.285955,культура,4.2
55,55,Иркутский областной художественный музей имени В. П. Сукачёва,Музей,"ул. Свердлова, 16",104.282574,52.284412,культура,4.3
56,56,"Музей истории г. Иркутска им. Сибирякова, филиал Солдаты Отечества",Музей,"ул. Чайковского, 5",104.236922,52.281247,культура,4.5
57,57,"Музей истории города Иркутска имени А. М. Сибирякова, филиал Музей городского быта",Музей,"ул. Декабрьских Событий, 77А",104.304103,52.286013,культура,4.3
58,58,Музей ретро-автомобилей Гараж,Музей,"Подгорная ул., 27, Иркутск",104.297191,52.27919,культура,4.2
59,59,Иркутский планетарий,Планетарий,"ул. Седова, 30",104.289784,52.273873,культура,4.7
60,60,Городской выставочный центр имени В. С. Рогаля,Выставочный центр,"ул. Халтурина, 3",104.287387,52.289391,культура,4.3
61,61,"ИРНИТУ, Государственный минералогический музей имени А.В. Сидорова",Музей,"ул. Лермонтова, 83, корп. Е",104.262728,52.261194,культура,4.5
62,62,Ледокол Ангара,Музей,"просп. Маршала Жукова, 36А/1",104.343884,52.250143,культура,4.4
63,63,Музей мусора,Музей,"Иркутский район, Александровский тракт, 5-й километр, 1",104.303091,52.382381,культура,4.8
64,65,Музей имени дважды героя СССР Белобородова А.П.,Музей,"ул. Ширямова, 38/4",104.346525,52.264031,культура,4.3
65,66,Музей Ноосфера имени Михаила Щадова,Музей,"ул. Седова, 30 Иркутский планетарий",104.289908,52.273769,культура,4.1
66,67,Музей охотоведения,Музей,"ул. Тимирязева, 59, Иркутск, этаж 2",104.302765,52.287823,культура,4.7
67,68,Музей Боевой Славы,Музей,"ул. Карла Маркса, 47офис 103, этаж 1",104.294075,52.290051,культура,3.5
68,69,Музей оптических иллюзий Фантаст,Музей,"просп. Маршала Жукова, 36А/1",104.343825,52.250077,культура,4.5
69,70,Музей истории ВСЖД Всцнтиб - Структурного подразделения ВСЖД - Филиала РЖД,Музей,"ул. 3 Июля, 1/24",104.292538,52.272701,культура,4.1
70,71,Экспериментарий,Музей,"ул. Лермонтова, 289этаж 1",104.271487,52.24507,культура,4.5
71,72,Музей Окно в Азию,Музей,"ул. 3 Июля, 21Б",104.28927,52.273514,культура,4.2
72,73,Музей истории вагонного депо,Музей,"Иркутск, улица Челнокова",104.258184,52.285835,культура,4.1
73,74,Музей игрушек Бичайханова,Музей,"ул. Степана Разина, 11",104.273932,52.285682,культура,3.5
74,75,Музей локомотивного депо,Музей,"ул. Академика Образцова, 30",104.206623,52.339675,культура,4.4
75,76,Музей зоологии позвоночных,Музей,"ул. Сухэ-Батора, 5, Иркутск",104.282537,52.288581,культура,4.0
76,77,"Тальцы, касса",Музей,"ул. Грязнова, 22, Иркутск",104.288655,52.278911,культура,4.3
77,78,Музей пожарной охраны города Иркутска и Иркутской области,Музей,"ул. Тимирязева, 33",104.298292,52.283938,культура,4.2
78,79,"Игу, геологический музей",Музей,"ул. Ленина, 3",104.280909,52.284934,культура,4.1
79,80,Музей самоваров,Музей,"ул. Седова, 42/1",104.29251,52.27316,культура,3.9
80,81,ЦСИ Огонь,Музей,"ул. Марата, 11",104.27589,52.28858,культура,4.3
81,82,Музей имени М. М. Кожова при Игу,Музей,"ул. Сухэ-Батора, 5",104.282344,52.28875,культура,4.2
82,83,Перевернутый дом,Музей,"ул. Сергеева, 3",104.222926,52.264594,культура,2.2
83,84,Отдел книжного фонда,Музей,"ул. Карла Маркса, 13",104.284098,52.281529,культура,4.0
84,85,Музей истории НИИрТУ,Музей,"ул. Лермонтова, 83, корп. И, ИркутскАмфитеатр",104.26233,52.262042,культура,3.5
85,86,Афат,Музей,"ул. Карла Либкнехта, 2этаж цокольный",104.287254,52.285737,культура,3.3
86,87,Музей спортивной славы Приангарья,Музей,"ул. Ленина, 48ДС Труд, этаж 2",104.2835,52.277099,культура,4.5
87,88,Lovely dolls,Курсы и мастер-классы,"ул. Лапина, 17",104.28647,52.27938,услуги,0.0
88,89,Арт Хаус,Музей,"ул. Степана Разина, 11",104.274058,52.285682,культура,0.0
89,90,Музей ретротехники,Музей,"Подгорная ул., 27",104.29864,52.27859,культура,4.1
90,91,Арт-Хаус,Музей,"ул. Сухэ-Батора, 12",104.28404,52.284428,культура,2.3
91,92,Иркутский академический драматический театр имени Н.П. Охлопкова,Театр,"ул. Карла Маркса, 14",104.281842,52.277443,культура,4.8
92,93,ОГАУК Иркутский областной государственный музыкальный театр имени Н.М. Загурского,Театр,"ул. Седова, 29",104.291874,52.274595,культура,4.7
93,94,Иркутский областной театр юного зрителя имени А. Вампилова,Театр,"ул. Ленина, 23, Иркутск",104.285267,52.277537,культура,4.5
94,95,Театр кукол Аистёнок,Театр,"Байкальская ул., 32",104.303004,52.275449,культура,4.5
95,96,Городской театр народной драмы,Театр,"ул. Мухиной, 13А",104.312726,52.227149,культура,4.6
96,97,Новая драма,Театр,"ул. Кожова, 38",104.293323,52.272631,культура,4.4
97,98,Театр Внутренней Практики Сергея Помазана,Театр,"ул. Октябрьской Революции, 20В этаж 1",104.303082,52.289164,культура,4.8
98,99,Театр пилигримов,Театр,"пер. Волконского, 8",104.30409,52.287204,культура,4.3
99,100,Иркутский Бейби театр,Театр,"ул. Трилиссера, 91Б",104.317486,52.275551,культура,3.9
100,101,Театр Александра Гречмана,Театр,"ул. Костычева, 1",104.279663,52.237015,культура,3.8
101,102,АлександриЯ,Театр,"ул. Ленина, 23",104.285269,52.277654,культура,4.9
102,103,Под знаком Водолея,Театр,"ул. Академика Курчатова, 13А, Иркутск",104.264522,52.256157,культура,4.2
103,104,Театр танца Владимира Лопаева Ргодвижение,Театр,"ул. Карла Маркса, 40 этаж 3",104.297949,52.291413,культура,4.5
104,105,Молодежный театр Эксперимент,Театр,"ул. Ленина, 8 МГЛУ ЕАЛИ",104.278235,52.288673,культура,4.9
105,106,Alter Homo,Театр,"ул. Пискунова, 54",104.310125,52.268777,культура,4.6
106,107,Дом актёра,Дом культуры,"Хасановский пер., 1",104.282225,52.278171,культура,4.3
107,108,Поляна,Спортивно-развлекательный центр,"Старо-Кузьмихинская ул., 37/15",104.279031,52.250531,развлечения,4.4
108,109,Центральный Парк Культуры и Отдыха,Парк культуры и отдыха,"Иркутск, Парковая улица",104.29462,52.273728,природа,4.1
109,110,Сквер имени Кирова,Сквер,"Иркутск, сквер имени Кирова",104.281224,52.286737,культура,4.4
110,111,Бульвар Гагарина,Парк культуры и отдыха,"Иркутск, бульвар Гагарина",104.273431,52.280929,природа,4.5
111,112,Лисихинский парк,Парк культуры и отдыха,"Иркутск, Лисихинский парк",104.330522,52.258021,природа,4.5
112,113,Парк культуры и отдыха,Парк культуры и отдыха,"Иркутск, остров Юность",104.276649,52.271687,природа,4.7
113,114,Юность,Верёвочный парк,"Иркутск, парк Остров Юностьпавильон 4",104.276632,52.271342,природа,5.0
114,115,Парк имени Парижской коммуны,Лесопарк,"Иркутск, Спортивный переулок",104.253344,52.28749,природа,3.8
115,116,Молодёжная роща,Парк культуры и отдыха,"Иркутск, роща Молодёжная",104.207846,52.336313,природа,4.4
116,117,Роща Звёздочка,Парк культуры и отдыха,"Иркутск, улица Чернышевского",104.260829,52.272203,природа,4.2
117,118,Историко-мемориальный комплекс Иерусалимская гора,Парк культуры и отдыха,"Иркутск, историко-мемориальный комплекс Иерусалимская гора",104.298327,52.275932,природа,4.4
118,119,парк Инициативной молодёжи,Парк культуры и отдыха,"Иркутск, парк Инициативной молодёжи",104.257026,52.278991,природа,4.3
119,120,сквер Молодёжи,Парк культуры и отдыха,"Иркутск, переулок Гершевича",104.276633,52.290153,природа,4.7
120,121,"аллея Мужества, воинской и трудовой доблести",Парк культуры и отдыха,"Иркутск, аллея Мужества, воинской и трудовой доблести",104.347404,52.280174,природа,4.3
121,122,сквер МОПРа,Парк культуры и отдыха,"Иркутск, улица Декабрьских Событий",104.291778,52.291158,природа,4.3
122,123,Ботанический сад Игу,Парк культуры и отдыха,"ул. Кольцова, 93",104.245798,52.262542,природа,4.5
123,124,cквер Космонавтов,Парк культуры и отдыха,"Иркутск, cквер Космонавтов",104.267839,52.287579,природа,4.6
124,125,Купеческий сквер,Парк культуры и отдыха,"Иркутск, Купеческий сквер",104.305022,52.285743,природа,4.6
125,126,сад Томсона,Парк культуры и отдыха,"Иркутск, сад Томсона",104.201104,52.329357,природа,2.9
126,127,Сквер имени Хаим-Бера Ходоса,Сквер,"ул. Ленина, 20А",104.280419,52.283472,культура,3.3
127,128,сквер у памятника маршалу Жукову,Парк культуры и отдыха,"Иркутск, сквер у памятника маршалу Жукову",104.351738,52.248951,природа,4.5
128,129,парк Берёзка,Парк культуры и отдыха,"Иркутск, парк Берёзка",104.148771,52.355239,природа,3.7
129,130,Южный сквер,Парк культуры и отдыха,"Иркутск, Южный сквер",104.298696,52.226229,природа,3.8
130,131,Парк Победы,Парк культуры и отдыха,"Иркутск, парк Победы",104.215307,52.344661,природа,3.9
131,132,сквер имени Александра Вампилова,Парк культуры и отдыха,"Иркутск, сквер имени Александра Вампилова",104.238876,52.258138,природа,4.2
132,133,Ледяной городок Ледниковый период,Зимние развлечения,"15-й Советский пер., 2дробь 1",104.177654,52.34865,развлечения,4.3
133,134,сквер Прогресс,Парк культуры и отдыха,"Иркутск, сквер Прогресс",104.270029,52.247569,природа,4.3
134,135,Изумрудный сквер,Парк культуры и отдыха,"Иркутск, улица Лермонтова",104.256316,52.269993,природа,3.9
135,136,Пушкинский сквер,Сквер,"ул. Гоголя, 33",104.252932,52.281222,культура,2.4
136,137,Сквер имени Охлопкова,Сквер,"Иркутск, сквер имени Охлопкова",104.280231,52.277297,культура,4.8
137,138,Заповедное Прибайкалье,Лесопарк,"83А, микрорайон Юбилейный, Иркутск",104.295788,52.216069,природа,3.9
138,139,Сквер у Вечного Огня,Сквер,"Иркутск, сквер У Вечного Огня",104.281826,52.290808,культура,4.5
139,140,Студенческий сквер,Парк культуры и отдыха,"Иркутск, Студенческий сквер",104.26363,52.260766,природа,4.3
140,141,Сквер Святителя Иннокентия,Парк культуры и отдыха,"ул. Сухэ-Батора, 1А",104.282074,52.292056,природа,4.6
141,142,Городская Среда,Парк культуры и отдыха,"Академическая ул., 12этаж 2",104.288123,52.234443,природа,2.5
142,143,Сибэкспоцентр,Выставочный центр,"Байкальская ул., 253А",104.353625,52.25643,культура,4.2
143,144,Dias,Выставочный центр,"ул. Седова, 40",104.292078,52.273268,культура,4.7
144,145,Ремесленное подворье,Курсы и мастер-классы,"ул. 3 Июля, 17А",104.28849,52.274233,услуги,4.7
145,146,Московские ворота,Достопримечательность,"Иркутск, улица Нижняя Набережная",104.286167,52.293581,достопримечательности,5.0
146,147,Макет старого Иркутска,Достопримечательность,"Иркутск, сквер имени Кирова",104.28013,52.287739,достопримечательности,5.0
147,148,130 квартал,Достопримечательность,"ул. 3 Июля, 13/1",104.288174,52.274884,достопримечательности,4.9
148,149,Иерусалимская лестница,Достопримечательность,"Иркутск, улица Борцов Революции",104.295871,52.277395,достопримечательности,4.9
149,150,Достопримечательность,Достопримечательность,"Иркутск, парк Остров Юность",104.282624,52.2692,достопримечательности,4.4
150,151,Доходный дом А.И. Шастина,Достопримечательность,"ул. Фридриха Энгельса, 21",104.304491,52.286149,достопримечательности,4.8
151,152,Дом И.М. Файнберга,Достопримечательность,"ул. Халтурина, 1",104.28678,52.288928,достопримечательности,4.9
152,153,Пожарная каланча,Достопримечательность,"ул. Марата, 10",104.275443,52.288142,достопримечательности,4.7
153,154,Белый дом,Достопримечательность,"бул. Гагарина, 24",104.277181,52.276263,достопримечательности,4.7
154,155,Иркутский тюремный замок,Достопримечательность,"ул. Баррикад, 63",104.312527,52.294548,достопримечательности,4.1
155,156,А. В. Колчак,Памятник,"Иркутск, предместье Марата",104.295058,52.300035,история,4.1
156,157,Декоративное сооружение Глобус,Достопримечательность,"Советская ул., 73",104.329399,52.280088,достопримечательности,4.0
157,158,Святые врата,Достопримечательность,"Иркутск, предместье Марата",104.294805,52.300361,достопримечательности,4.7
158,159,"Региональный памятник комплекс железнодорожного здания, здание вагонное депо",Достопримечательность,"ул. Челнокова, с1Акционерное общество ""Федеральная пассажирка компания""",104.259551,52.283351,достопримечательности,4.4
159,160,Мини-парк символов городов-побратимов Иркутска,Достопримечательность,"Иркутск, Правобережный округ",104.303883,52.286443,достопримечательности,4.0
160,161,Колесо обозрения Кругозор,Аттракцион,"5, остров Конный",104.277867,52.269502,развлечения,4.5
161,162,Ликероводочный завод Кедр,Достопримечательность,"ул. Рабочего Штаба, 27/1",104.297805,52.305943,достопримечательности,4.3
162,163,Часовня у церкви Спаса Нерукотворного образа,Достопримечательность,"Иркутск, улица Сухэ-Батора",104.281889,52.291143,достопримечательности,4.8
163,164,Дом декабриста П.А. Муханова,Достопримечательность,"ул. Тимирязева, 45А",104.300452,52.285556,достопримечательности,4.3
164,165,Особняк купца М.Д. Бутина,Достопримечательность,"Хасановский пер., 1, Иркутск",104.282135,52.277954,достопримечательности,2.8
165,166,Колокольня Богоявленского собора,Достопримечательность,"Иркутск, Кировский район",104.282452,52.291926,достопримечательности,4.6
166,167,Гуркинская голубятня,Достопримечательность,"ул. Седова, 20/1",104.289478,52.27409,достопримечательности,3.6
167,168,Фонарь-скамейка,Достопримечательность,"Иркутск, бульвар Гагарина",104.273241,52.280838,достопримечательности,4.1
168,169,Флигель Ларина,Достопримечательность,"ул. Фридриха Энгельса, 21А",104.304258,52.286632,достопримечательности,4.4
169,170,Монументальное панно Интернационал,Достопримечательность,"ул. Карла Маркса, 31",104.289264,52.285864,достопримечательности,3.9
170,171,Стелла микрорайон Университетский,Достопримечательность,"Иркутск, Улан-Баторская улица",104.251665,52.255839,достопримечательности,4.3
171,172,Дом Серапилова,Достопримечательность,"ул. Фридриха Энгельса, 23",104.304861,52.286296,достопримечательности,4.3
172,173,Эйфелева башня,Достопримечательность,"1Б/1, микрорайон Университетский",104.250726,52.255307,достопримечательности,4.6
173,174,Здания бань Курбатова и Русанова,Достопримечательность,"Иркутск, улица Николая Гаврилова",104.269619,52.290025,достопримечательности,4.3
174,175,Миг-23,Достопримечательность,"Иркутск, Октябрьский округ",104.322313,52.278748,достопримечательности,4.4
175,176,Люк Иркутск 350 лет,Достопримечательность,"Иркутск, Кировский район",104.281885,52.280161,достопримечательности,4.8
176,177,Дом Леонида Гайдая,Достопримечательность,"ул. Касьянова, 35",104.241035,52.283135,достопримечательности,3.5
177,178,Руины старого железнодорожного моста,Достопримечательность,"Иркутск, Свердловский округ",104.24296,52.295805,достопримечательности,4.0
178,179,Дом Шубиных,Достопримечательность,"ул. Лапина, 23",104.287487,52.278419,достопримечательности,3.6
179,180,Усадьба инженера И.И. Никитина,Достопримечательность,"ул. Литвинова, 1",104.288742,52.284409,достопримечательности,4.9
180,181,Усадьба купца Д.Х. Кузнеца,Достопримечательность,"ул. Дзержинского, 36",104.296245,52.284585,достопримечательности,4.0
181,182,Особняк в усадьбе купцов Замятиных,Достопримечательность,"ул. Сурикова, 4А",104.269594,52.28821,достопримечательности,3.6
182,183,Особняк Тараканова,Достопримечательность,"ул. Софьи Перовской, 36, Иркутск",104.302073,52.282179,достопримечательности,3.5
183,184,Римско-католическая церковь,Католический храм,"ул. Сухэ-Батора, 1",104.282276,52.290448,религия,5.0
184,185,Дом Полканова,Достопримечательность,"ул. Декабрьских Событий, 77А",104.303947,52.286062,достопримечательности,4.4
185,186,Дом-корабль,Достопримечательность,"просп. Маршала Жукова, 1",104.351989,52.250628,достопримечательности,3.0
186,187,Водонапорная башня нагорной части города Иркутска,Достопримечательность,"ул. Красных Мадьяр, 43",104.304304,52.274317,достопримечательности,4.1
187,188,Люк 350 лет Иркутску,Достопримечательность,"ул. 3 Июля, 7",104.287563,52.275141,достопримечательности,4.0
188,189,Дом общества Утоли моя печали,Достопримечательность,"ул. Фурье, 11",104.293434,52.283978,достопримечательности,4.3
189,190,Дом Гримберта,Достопримечательность,"ул. Фридриха Энгельса, 21А",104.304548,52.286435,достопримечательности,4.4
190,191,Аптека № 1 М.Г. Писаревского,Достопримечательность,"ул. Дзержинского, 34",104.295705,52.283928,достопримечательности,4.4
191,192,Усадьба Середкина,Достопримечательность,"ул. Сурикова, 9, Иркутск",104.270553,52.289213,достопримечательности,2.6
192,193,Пик Любви,Смотровая площадка,"26А, Ершовский микрорайон",104.315317,52.220571,достопримечательности,3.7
193,194,Глазково,Смотровая площадка,"Иркутск, предместье Глазково",104.262563,52.275322,достопримечательности,4.7
194,195,Особняк купца П.К. Солдатова,Достопримечательность,"бул. Гагарина, 56",104.271926,52.282948,достопримечательности,3.6
195,196,Усадьба Савинцева,Достопримечательность,"ул. Седова, 64",104.299109,52.269594,достопримечательности,4.0
196,197,Усадьба купца В.К. Бревнова,Достопримечательность,"ул. Степана Разина, 40",104.278481,52.28201,достопримечательности,4.7
197,198,Усадьба В. И. Винтовкина,Достопримечательность,"ул. Бабушкина, 12",104.295877,52.28791,достопримечательности,3.5
198,199,Дом купца М.М. Маслова,Достопримечательность,"ул. Степана Разина, 26",104.276364,52.283647,достопримечательности,4.0
199,200,Жилой дом Восточно-Сибирской железной дороги,Достопримечательность,"Российская ул., 2",104.272096,52.283209,достопримечательности,4.2
200,201,Дом быта,Достопримечательность,"ул. Урицкого, 8, Иркутск",104.290278,52.283868,достопримечательности,1.9
201,202,Доходный дом Шелехова,Достопримечательность,"Подгорная ул., 16",104.292649,52.277761,достопримечательности,4.3
202,203,Дом купца Усенко,Достопримечательность,"ул. 3 Июля, 33/2",104.290886,52.27208,достопримечательности,4.1
203,204,Флигель купца Д.И. Колченогова,Достопримечательность,"ул. Желябова, 16Б",104.290447,52.289778,достопримечательности,4.0
204,205,Дом купца Г.А. Киселева,Достопримечательность,"ул. Степана Разина, 23",104.27686,52.283987,достопримечательности,3.5
205,206,Усадьба Рябчикова,Достопримечательность,"ул. Кожова, 28",104.292349,52.271852,достопримечательности,3.5
206,207,Дом купца С.Ф. Дудоровского,Достопримечательность,"ул. 5-й Армии, 65",104.27838,52.279837,достопримечательности,4.1
207,208,Усадьба Арцибашевых,Достопримечательность,"ул. Лапина, 35",104.289062,52.277088,достопримечательности,3.6
208,209,Собор Богоявления Господня,Православный храм,"ул. Сухэ-Батора, 1А",104.282349,52.292223,религия,4.9
209,210,Мемориальный комплекс памяти жертв политических репрессий Пивовариха,Достопримечательность,"Иркутская область, Иркутский район",104.432425,52.25776,достопримечательности,4.8
210,211,Усадьба Е.И. Рассушиной,Достопримечательность,"ул. Бабушкина, 10",104.295534,52.288082,достопримечательности,3.5
211,212,Доходный дом в усадьбе В. Е. Лакашевич,Достопримечательность,"ул. Баррикад, 35",104.302931,52.296496,достопримечательности,3.9
212,213,Доходный дом Александрова,Достопримечательность,"ул. Марата, 30",104.278092,52.284604,достопримечательности,4.2
213,214,Нижняя Набережная,Достопримечательность,"Иркутск, улица Нижняя Набережная",104.282763,52.292926,достопримечательности,5.0
214,215,Пчела,Достопримечательность,"Иркутск, Рабочая улица",104.293947,52.29704,достопримечательности,4.3
215,216,Чаеразвесочная фабрика,Достопримечательность,"ул. Сурикова, 21",104.272829,52.290419,достопримечательности,3.5
216,217,Базановский воспитательный дом,Достопримечательность,"ул. Свердлова, 14",104.280413,52.284076,достопримечательности,4.5
217,218,Мемориальная доска Астафьев В. И.,Достопримечательность,"100, корп. 1, микрорайон Юбилейный, Иркутск",104.297989,52.220217,достопримечательности,3.8
218,867,Улица Карла Маркса,Достопримечательность,"Иркутск, улица Карла Маркса",104.287083,52.283748,достопримечательности,4.7
219,219,Изолирующая съемная вышка,Достопримечательность,"Иркутск, микрорайон Ново-Ленино",104.207154,52.339789,достопримечательности,3.6
220,220,Усадьба Шенкмана,Достопримечательность,"ул. Свердлова, 9",104.276619,52.282986,достопримечательности,3.6
221,221,Усадьба Феклина,Достопримечательность,"ул. Тимирязева, 23А",104.292857,52.279545,достопримечательности,4.0
222,222,Церковь Спаса Нерукотворного Образа,Православный храм,"ул. Сухэ-Батора, 2",104.281304,52.291117,религия,4.7
223,223,Паровозная гидроколонка,Достопримечательность,"Иркутск, микрорайон Ново-Ленино",104.207127,52.339699,достопримечательности,4.0
224,224,Усадьба Горячкиной,Достопримечательность,"ул. Фурье, 5А",104.292383,52.284742,достопримечательности,4.4
225,225,Воскресенско-Крестовоздвиженское училище,Достопримечательность,"ул. Ленина, 54",104.28457,52.276805,достопримечательности,3.6
226,226,"Церковь Веры, Надежды, Любови и матери их Софии",Православный храм,"Байкальская ул., 165В, Иркутск",104.328743,52.258249,религия,4.6
227,227,Доходный дом Гордеева,Достопримечательность,"Горная ул., 14",104.303898,52.28087,достопримечательности,3.7
228,228,Сибирский семейный зоопарк,Зоопарк,"просп. Маршала Жукова, 36/4 павильон 6",104.346633,52.250538,природа,4.6
229,229,Улица Декабрьских Событий,Достопримечательность,"Иркутск, улица Декабрьских Событий",104.301986,52.286751,достопримечательности,4.7
230,230,Российско-Американская компания,Достопримечательность,"ул. Сурикова, 24",104.277367,52.290394,достопримечательности,3.3
231,231,Усадьба Волковых,Достопримечательность,"ул. Марата, 68",104.280938,52.280155,достопримечательности,4.3
232,232,Образец ультразвукового рельсового дефектоскопа,Достопримечательность,"Иркутск, микрорайон Ново-Ленино",104.207061,52.33975,достопримечательности,3.4
